Category,Species,Variety,Size,Container,Price
Drzewa i krzewy iglaste,Thuja occidentalis (Żywotnik zachodni),Globosa,Ø30,5,30
Drzewa i krzewy iglaste,Thuja occidentalis (Żywotnik zachodni),Golden Globe,Ø30,5,30
Drzewa i krzewy iglaste,Thuja occidentalis (Żywotnik zachodni),GOLDEN SMARAGD ®,70-80,"7,5",50
Drzewa i krzewy iglaste,Thuja occidentalis (Żywotnik zachodni),MIRJAM ®,Ø20-25,2,25
Drzewa i krzewy iglaste,Thuja occidentalis (Żywotnik zachodni),Smaragd,80-100,3,20
Drzewa i krzewy iglaste,Thuja occidentalis (Żywotnik zachodni),Smaragd,120,10,50
Drzewa i krzewy iglaste,Thuja occidentalis (Żywotnik zachodni),Spiralis,80-100,5,35
Drzewa i krzewy iglaste,Thuja occidentalis (Żywotnik zachodni),Yellow Ribbon,150,"7,5",50
Drzewa i krzewy iglaste,Thuja plicata (Żywotnik olbrzymi),Tiger Gold,60-80,5,35
Drzewa i krzewy iglaste,Thuja plicata (Żywotnik olbrzymi),Whipcord,Ø20,2,25
Drzewa i krzewy iglaste,Whipcord (szczepiony na pniu),,Pa 80,"7,5",160
Drzewa i krzewy liściaste,Acer negundo (Klon jesionolistny),Flamingo,Pa 140,10,150
Drzewa i krzewy liściaste,Acer palmatum (Klon palmowy),Atropurpureum,60,3,60
Drzewa i krzewy liściaste,Acer palmatum (Klon palmowy),Atropurpureum,100-120,"7,5",120
Drzewa i krzewy liściaste,Acer palmatum (Klon palmowy),Bloodgood,60-80,5,90
Drzewa i krzewy liściaste,Acer palmatum (Klon palmowy),"Katsura, Orange Dream",60-80,5,90
Drzewa i krzewy liściaste,Acer platanoides (Klon pospolity),Drummondii,Pa 150,20,140
Drzewa i krzewy liściaste,Acer platanoides (Klon pospolity),Globosum,Pa 200,20,200
Drzewa i krzewy liściaste,Acer platanoides (Klon pospolity),Princeton Gold,Pa 150,10,140
Drzewa i krzewy liściaste,Acer platanoides (Klon pospolity),Royal Red,Pa 120,"7,5",120
Drzewa i krzewy liściaste,Acer platanoides (Klon pospolity),Royal Red,Pa 150,"7,5",140
Drzewa i krzewy liściaste,Acer platanoides (Klon pospolity),Purple Globe,Pa 180,"7,5",180
Drzewa i krzewy liściaste,Acer rubrum (Klon czerwony),,220-250,10,100
Drzewa i krzewy liściaste,Amelanchier lamarckii (Świdośliwa Lamarcka),,60-80,3,20
Drzewa i krzewy liściaste,Aronia melanocarpa (Aronia wielkoowocowa),,60-80,3,20
Drzewa i krzewy liściaste,Berberis thunbergii (Berberys Thunberga),Admiration (R),20-25,2,25
Drzewa i krzewy liściaste,Berberis thunbergii (Berberys Thunberga),Atropurpurea,30-50,"2,5",20
Drzewa i krzewy liściaste,Berberis thunbergii (Berberys Thunberga),Bagatelle,Ø20,2,20
Drzewa i krzewy liściaste,Berberis thunbergii (Berberys Thunberga),Erecta,50-60,3,20
Drzewa i krzewy liściaste,Berberis thunbergii (Berberys Thunberga),Green Carpet,Ø15-25,2,20
Drzewa i krzewy liściaste,Berberis thunbergii (Berberys Thunberga),Orange Ice ®,20-30,2,25
Drzewa i krzewy liściaste,Berberis thunbergii (Berberys Thunberga),Orange Rocket (R),30-40,3,25
Drzewa i krzewy liściaste,Berberis thunbergii (Berberys Thunberga),Ruby Star ®,20,2,25
Drzewa i krzewy liściaste,Berberis thunbergii (Berberys Thunberga),Tiny Gold ®,Ø20,3,25
Drzewa i krzewy liściaste,Berberis thunbergii (Berberys Thunberga),Yellow Bird ®,40-50,3,25
Drzewa i krzewy liściaste,Betula pendula (Brzoza brodawkowata),,200,3,20
Drzewa i krzewy liściaste,Betula pendula (Brzoza brodawkowata),,250-300,5,40
Drzewa i krzewy liściaste,Betula pendula (Brzoza brodawkowata),Goldbirke,300,25,150
Drzewa i krzewy liściaste,Betula pendula (Brzoza brodawkowata),Purpurea,200-220,5,45
Drzewa i krzewy liściaste,Betula pendula (Brzoza brodawkowata),Youngii,Pa 150-200,15,120-180
Drzewa i krzewy liściaste,Betula utilis (Brzoza użyteczna),Doorenbos,300-350,20,150
Drzewa i krzewy liściaste,Buddleja davidii (Budleja Davida),"Black Knight, Border Beauty, Empire Blue, Pink Cascade, Royal Red, White Profusion, Wisteria Lane",40-60,5,35
Drzewa i krzewy liściaste,Gatunek –,na żywopłoty,80-100,2,14
Drzewa i krzewy liściaste,Gatunek –,Fastigiata,200-220,"7,5",90
Drzewa i krzewy liściaste,Gatunek –,Fastigiata,300-350,35,200
Drzewa i krzewy liściaste,Catalpa bignonioides (Surmia bignoniowa),Nana,Pa 150,20,190
Drzewa i krzewy liściaste,Catalpa bignonioides (Surmia bignoniowa),Nana,Pa 180,20,220
Drzewa i krzewy liściaste,Catalpa bignonioides (Surmia bignoniowa),Nana,Pa 200,20,240
Drzewa i krzewy liściaste,Chaenomeles superba (Pigwowiec pośredni),,30-40,3,15
Drzewa i krzewy liściaste,"Nicoline (czerwony), Yukigoten (biały)",-szczepiony na pniu,Pa 90,"7,5",110
Drzewa i krzewy liściaste,Cornus alba (dereń biały),Elegantissima,40-60,3,15
Drzewa i krzewy liściaste,Cornus mas (Dereń jadalny),,100-120,5,40
Drzewa i krzewy liściaste,Cotinus coggygria (Perukowiec podolski),Royal Purple,30-50,2,25
Drzewa i krzewy liściaste,Cotinus coggygria (Perukowiec podolski),Royal Purple,60-80,5,65
Drzewa i krzewy liściaste,Cotoneaster (Irga),Boer -szczepiona,Pa 100,5,110
Drzewa i krzewy liściaste,Cotoneaster (Irga),Coral Beauty,Ø30,2,14
Drzewa i krzewy liściaste,Cotoneaster dammerii (Irga Dammera),Major,Ø20-30,2,14
Drzewa i krzewy liściaste,Crataegus laevigata (Głóg pośredni),,Paul's Scarlet 100-120,5,60
Drzewa i krzewy liściaste,Crataegus laevigata (Głóg pośredni),Paul's,Scarlet 250-300,20,180
Drzewa i krzewy liściaste,Euonymus alatus (Trzmielina oskrzydlona),Compactus,30,2,30
Drzewa i krzewy liściaste,Euonymus fortuneii (Trzmielina Fortunea),"Emerald’n Gold, Emerald Gaiety",20-30,2,15
Drzewa i krzewy liściaste,Euonymus fortuneii (Trzmielina Fortunea),Odmiany szczepione,Pa 100-110,5,80
Drzewa i krzewy liściaste,Fagus sylvatica (Buk pospolity),Dawyck Gold,90-100,10,100
Drzewa i krzewy liściaste,Fagus sylvatica (Buk pospolity),Dawyck Purple,90-100,10,100
Drzewa i krzewy liściaste,Fagus sylvatica (Buk pospolity),Purple Fontain,100-120,"7,5",120
Drzewa i krzewy liściaste,Fagus sylvatica (Buk pospolity),Rohan Obelisk,90-100,"7,5",100
Drzewa i krzewy liściaste,Fagus sylvatica (Buk pospolity),Purpurea Tricolor,120,12,160
Drzewa i krzewy liściaste,Forsythia intermedia (Forsycja pośrednia),,100,3,15
Drzewa i krzewy liściaste,Ginkgo biloba (Miłorząb dwuklapowy),,120-140,5,60
Drzewa i krzewy liściaste,Ginkgo biloba (Miłorząb dwuklapowy),Anny's Dwarf,Pa 20,5,100
Drzewa i krzewy liściaste,Ginkgo biloba (Miłorząb dwuklapowy),Mariken,Pa60,10,180
Drzewa i krzewy liściaste,Gleditsia triacanthos (Glediczja trójcierniowa),'Sunburst',60-80,5,50
Drzewa i krzewy liściaste,Hibiscus moschetous (Hibiskus bagienny),,,5,50
Drzewa i krzewy liściaste,Hibiscus syriacus (Ketmia syryjska),w odmianach,60-100,3,40
Drzewa i krzewy liściaste,Hydrangea arborescens (Hortensja drzewiasta),Anabelle,30-60,"2,5",30
Drzewa i krzewy liściaste,Hydrangea macrophylla (Hortensja ogrodowa),w odmianach,30-50,5,45
Drzewa i krzewy liściaste,Hydrangea paniculata (H. bukietowa),w odmianach,30-50,3,25-30
Drzewa i krzewy liściaste,Hydrangea paniculata (H. bukietowa),w odmianach,40-60,5,55
Drzewa i krzewy liściaste,Syringa vulgaris (Lilak pospolity, tzw. „bez”),Charles Joly, Katherine Havemeyer, Krasavica Moskwy, Sensation,60,5,55
Drzewa i krzewy liściaste,Hydrangea petiolaris (Hortensja pnąca),,100,3,40
